Timestamp:  12:05:26  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:05:32  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:05:37  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:05:42  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:05:47  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:05:52  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:05:57  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:06:02  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:06:07  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:06:12  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:06:17  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:06:22  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:06:27  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:06:32  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:06:37  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:06:42  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:06:47  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:06:52  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:06:57  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:07:02  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:07:07  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:07:12  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:07:17  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:07:22  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:07:27  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:07:32  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:07:37  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:07:42  | %CPU idle:  99,2  | %CPU user:  0,2  | %CPU system:  0,6
Timestamp:  12:07:47  | %CPU idle:  98,4  | %CPU user:  0,5  | %CPU system:  1,0
Timestamp:  12:07:52  | %CPU idle:  98,8  | %CPU user:  0,3  | %CPU system:  0,8
Timestamp:  12:07:57  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:08:02  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:08:07  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:08:12  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:08:17  | %CPU idle:  99,9  | %CPU user:  0,1  | %CPU system:  0,0
Timestamp:  12:08:22  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:08:27  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:08:32  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:08:37  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:08:42  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:08:47  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:08:52  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:08:57  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:09:02  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:09:07  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:09:12  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:09:17  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:09:22  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:09:27  | %CPU idle:  99,8  | %CPU user:  0,1  | %CPU system:  0,1
Timestamp:  12:09:32  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:09:37  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:09:42  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:09:47  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:09:52  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:09:57  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:10:02  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:10:07  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:10:13  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:10:18  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:10:23  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:10:28  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:10:33  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:10:38  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:10:43  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:10:48  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:10:53  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:10:58  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:11:03  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:11:08  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:11:13  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:11:18  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:11:23  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:11:28  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:11:33  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:11:38  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:11:43  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:11:48  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:11:53  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:11:58  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:12:03  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:12:08  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:12:13  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:12:18  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:12:23  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:12:28  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
