Timestamp,Capacidad disponible,Capacidad utilizada,% Memoria utilizada
18:10:42,2571020,629304,15.59
18:10:45,2571020,629304,15.59
18:10:48,2569160,631156,15.64
18:10:51,2569160,631156,15.64
18:10:54,2569160,631156,15.64
18:10:57,2569160,631152,15.64
18:11:00,2569160,631152,15.64
18:11:03,2567920,632304,15.66
18:11:06,2568044,632168,15.66
18:11:09,2568044,632160,15.66
18:11:12,2568044,632160,15.66
18:11:15,2568044,632160,15.66
18:11:18,2568044,632160,15.66
18:11:21,2568044,632160,15.66
18:11:24,2568044,632156,15.66
18:11:27,2568044,632156,15.66
18:11:30,2568044,632156,15.66
18:11:33,2568044,632156,15.66
18:11:36,2568044,632156,15.66
18:11:39,2568044,632156,15.66
18:11:42,2568044,632156,15.66
18:11:45,2572880,627316,15.54
18:11:48,2572880,627316,15.54
18:11:51,2572880,627316,15.54
18:11:54,2572880,627316,15.54
18:11:57,2572880,627316,15.54
18:12:01,2572880,627316,15.54
18:12:04,2572880,627316,15.54
18:12:07,2572880,627316,15.54
18:12:10,2572756,627440,15.54
18:12:13,2572756,627440,15.54
18:12:16,2572756,627440,15.54
18:12:19,2572756,627440,15.54
18:12:22,2572632,627564,15.55
18:12:25,2572632,627564,15.55
18:12:28,2572632,627564,15.55
18:12:31,2572632,627564,15.55
18:12:34,2572632,627564,15.55
18:12:37,2572632,627552,15.55
18:12:40,2572632,627552,15.55
18:12:43,2572632,627552,15.55
18:12:46,2572632,627552,15.55
18:12:49,2572632,627552,15.55
18:12:52,2572632,627552,15.55
18:12:55,2572508,627676,15.55
18:12:58,2572508,627676,15.55
18:13:01,2572508,627676,15.55
18:13:04,2572508,627676,15.55
18:13:07,2572508,627676,15.55
18:13:10,2572508,627668,15.55
18:13:13,2572508,627668,15.55
18:13:16,2572508,627668,15.55
18:13:19,2572508,627668,15.55
18:13:22,2572508,627668,15.55
18:13:25,2572508,627668,15.55
18:13:28,2572632,627544,15.55
18:13:31,2572632,627544,15.55
18:13:34,2572632,627544,15.55
18:13:37,2572632,627544,15.55
18:13:40,2572508,627668,15.55
18:13:43,2572508,627668,15.55
