Timestamp,CPU Idle (%),CPU User (%),CPU System (%)
12:00:05,3.6,0.4,1.4
12:00:10,0.2,0.0,0.2
12:00:15,0.1,0.0,0.1
12:00:20,0.1,0.0,0.1
12:00:25,0.1,0.0,0.0
12:00:30,0.1,0.0,0.0
12:00:35,0.1,0.0,0.0
12:00:40,0.0,0.0,0.0
12:00:45,0.1,0.0,0.0
12:00:50,0.1,0.0,0.1
12:00:55,0.0,0.0,0.0
12:01:00,0.1,0.0,0.0
12:01:06,0.2,0.1,0.2
12:01:11,0.0,0.0,0.0
12:01:16,0.4,0.2,0.2
12:01:21,0.5,0.2,0.3
12:01:26,1.3,0.4,0.5
12:01:31,1.7,0.7,1.0
12:01:36,2.4,0.7,1.6
12:01:41,0.4,0.1,0.3
12:01:46,0.1,0.0,0.1
12:01:51,0.1,0.0,0.1
12:01:56,0.1,0.0,0.1
12:02:01,0.1,0.0,0.1
12:02:06,0.1,0.0,0.0
12:02:11,0.1,0.0,0.0
12:02:16,0.1,0.0,0.1
12:02:21,0.1,0.0,0.0
12:02:26,0.0,0.0,0.0
12:02:31,0.0,0.0,0.0
12:02:36,0.9,0.3,0.5
12:02:41,0.2,0.1,0.2
12:02:46,0.1,0.0,0.1
12:02:51,0.1,0.0,0.0
12:02:56,0.1,0.0,0.0
12:03:01,0.1,0.0,0.1
12:03:06,0.1,0.0,0.0
12:03:11,0.0,0.0,0.0
12:03:16,0.1,0.0,0.0
12:03:21,0.1,0.0,0.0
12:03:26,0.0,0.0,0.0
12:03:31,0.1,0.0,0.1
12:03:36,0.0,0.0,0.0
12:03:41,0.1,0.0,0.0
12:03:46,0.1,0.0,0.0
12:03:51,0.1,0.0,0.0
12:03:56,0.0,0.0,0.0
12:04:01,0.1,0.0,0.1
12:04:06,0.1,0.0,0.0
12:04:11,0.1,0.0,0.0
12:04:16,0.1,0.0,0.0
12:04:21,0.1,0.0,0.1
12:04:26,0.0,0.0,0.0
12:04:31,0.1,0.0,0.0
12:04:36,0.1,0.0,0.0
12:04:41,0.0,0.0,0.0
12:04:46,0.1,0.1,0.0
12:04:51,0.1,0.0,0.0
12:04:56,0.0,0.0,0.0
12:05:01,0.1,0.0,0.0
12:05:06,0.0,0.0,0.0
12:05:11,0.1,0.0,0.1
12:05:16,0.1,0.0,0.0
12:05:21,0.1,0.0,0.0
12:05:26,0.1,0.0,0.0
12:05:32,0.0,0.0,0.0
12:05:37,0.1,0.0,0.0
12:05:42,0.1,0.0,0.0
12:05:47,0.1,0.0,0.0
12:05:52,0.1,0.0,0.1
12:05:57,0.0,0.0,0.0
12:06:02,0.1,0.0,0.0
12:06:07,0.1,0.0,0.1
12:06:12,0.1,0.0,0.0
12:06:17,0.1,0.0,0.1
12:06:22,0.1,0.0,0.0
12:06:27,0.1,0.0,0.0
12:06:32,0.0,0.0,0.0
12:06:37,0.0,0.0,0.0
12:06:42,0.0,0.0,0.0
12:06:47,0.1,0.0,0.1
12:06:52,0.0,0.0,0.0
12:06:57,0.1,0.0,0.0
12:07:02,0.1,0.0,0.0
12:07:07,0.1,0.0,0.0
12:07:12,0.1,0.0,0.0
12:07:17,0.1,0.0,0.0
